"","SCS","RSES","CSE","HSNS","NPI","LOT","SDE","IM","MI","MSI","IPC","Ability","Attraction","Wealth","Social","Moral","ability_ALT_rt","moral_ALT_rt","ability_ALT_d","moral_ALT_d","ability_IAT","moral_IAT","ability_SRET_EW","moral_SRET_EW","ability_SRET_rt","moral_SRET_rt","ability_SRET_RJ1_d","moral_SRET_RJ1_d","ability_SRET_RJ2_d","moral_SRET_RJ2_d"
"Wealth",0.368225029556784,0.474152273503289,0.541748802747369,-0.367395568898574,0.373097291616845,0.405857006086753,0.531038050344766,0.382584547160058,0.35050781760237,0.418077138252992,0.517882513624721,0.634501832619999,0.651246545787786,1,0.619377389016529,0.472135172803606,0.0534416659614176,0.122672453861354,0.0396091083038145,0.0851604962378633,0.0436929050255475,-0.00382088748403164,0.393617670192908,0.186274730895965,-0.00554498423768525,-0.0403449471524967,-0.00688472975799837,-0.0901192506850058,-0.14173821584092,-0.141888680772769
"Social",0.380559852222452,0.547396689504354,0.603865339682585,-0.504634947896722,0.474703268870881,0.4280644601005,0.596769044053696,0.373537811262135,0.322805567986758,0.43802536801593,0.550554984566214,0.657998513671453,0.638908424278669,0.619377389016529,1,0.573556026153459,0.0792451481940716,0.111808788360249,0.0328963628768982,0.0669348422495933,0.0622427068811568,0.00105968932759752,0.330856158699634,0.144316728517976,-0.0494969691750452,-0.0621554542730237,-0.0198611759374244,-0.0193589682513985,-0.150763918060439,-0.109215025629413
"Moral",0.289814269204991,0.489769435804296,0.540920239203753,-0.420254373875082,0.282195132777063,0.412348527094116,0.524979589821999,0.463748620676822,0.460733681533023,0.542604920401256,0.475157573363106,0.616990758489387,0.574243376452976,0.472135172803606,0.573556026153459,1,0.0521591074262184,0.0886120344563379,0.0175168051365446,0.0292342686847389,0.0231160763063508,0.0417595216241699,0.406336007274366,0.232230668510857,0.0151258828755324,-0.0211291318669991,-0.023701430894547,-0.0898329002816667,-0.0705757165578297,-0.186178924315221
"ability_ALT_rt",-0.0606951560673878,0.00968448078654759,0.0470587564711742,-0.115887250987354,0.0977488368240327,-0.0737427701136485,-0.0114179521323951,-0.101014103392822,-0.0814350799587689,0.10619997294062,0.000102673997127985,0.182135874454631,0.13562094333665,0.0534416659614176,0.0792451481940716,0.0521591074262184,1,0.155866912933667,0.67660375450016,0.105365333009078,0.13938201197889,0.167542222635247,0.142760188804987,0.0278135112556497,-0.0395060195385847,0.0084841510275222,-0.0933957238412093,0.0540202815615537,-0.0450951517731491,-0.00924309678351709
"moral_ALT_rt",-0.155156233525908,0.0126224367934216,0.0370036166422282,-0.00884138005397521,0.192125267850836,-0.0721602209847653,-0.00902579468684003,-0.124915886716463,-0.133421114606336,-0.0253591747478362,-0.00239052772401921,0.161534989153825,0.169851172653635,0.122672453861354,0.111808788360249,0.0886120344563379,0.155866912933667,1,0.195222435764822,0.68203253329891,0.0934738656329832,0.0798234462512714,0.147480860077451,0.0199612488646533,-0.0780002324012205,-0.0551967250028395,-0.0352824076194877,-0.0255533446709087,0.0055978463732399,-0.0502240610468586
"ability_ALT_d",-0.0614729560700062,0.0172785774220218,0.0526485862420379,-0.0944286402542083,0.113665627048412,-0.036985835505273,-0.00684642508004161,-0.0909337934120208,-0.0953898398729773,0.0832744849910909,-0.0169076450006319,0.161612819542144,0.0874460247034591,0.0396091083038145,0.0328963628768982,0.0175168051365446,0.67660375450016,0.195222435764822,1,0.23910521661074,0.129443285442355,0.085586866188594,0.139334781312755,0.0337671197125193,-0.0377820650310582,-0.0266322937181668,-0.101550064236497,0.0453568613467187,-0.0649878969457105,0.0115087560858488
"moral_ALT_d",-0.144935772946962,0.0116384285106092,0.0296429429085108,0.00235508714459678,0.117347712039553,-0.0573036497298403,-0.0639751507916327,-0.145478951496735,-0.103477060965398,-0.0428454761289305,-0.0373535949243057,0.0861988926005738,0.083862647879931,0.0851604962378633,0.0669348422495933,0.0292342686847389,0.105365333009078,0.68203253329891,0.23910521661074,1,0.133355722104692,0.0500257614199082,0.0945993710457284,-0.00340121067087926,-0.0889480425318535,0.00113861746777724,-0.0280632844875791,-0.0232878822786721,-0.000474720855770272,-0.0248668210614746
"ability_IAT",-0.0116093093700594,0.0221080560272008,0.10287474120375,-0.121138521414238,-0.00137009693063705,0.0166365971110083,0.0722596089550883,0.0590285079996086,-0.00336436407391826,0.114831599654825,0.132847665784809,0.0999361694339116,0.0653230492912367,0.0436929050255475,0.0622427068811568,0.0231160763063508,0.13938201197889,0.0934738656329832,0.129443285442355,0.133355722104692,1,0.402838180129051,0.126571132042282,0.0133716246742087,-0.104779747990072,-0.0718889639474066,-0.0787836772199677,-0.00463666792613677,-0.079047091265747,-0.0485966695252415
"moral_IAT",-0.0853664499791031,-0.036469375390625,-0.0242138069935642,-0.0223373885621659,0.0755356687450721,-0.00451126864366722,-0.0445337582646326,-0.00932324874128472,-0.0132032205851615,0.0779792707186043,0.0570316911442154,0.0758578509120313,0.089024827766453,-0.00382088748403164,0.00105968932759752,0.0417595216241699,0.167542222635247,0.0798234462512714,0.085586866188594,0.0500257614199082,0.402838180129051,1,0.0518260900143795,-0.0617491779553543,-0.068871833845849,-0.0303227115404207,-0.058852472039013,0.0141311952664221,-0.0369776096040805,-0.0281765376917246
"ability_SRET_EW",0.189660853007136,0.284368597598229,0.402528460504336,-0.407875898614672,0.214381465040654,0.274472836132347,0.416998768739437,0.302628370633057,0.283580142290173,0.454988050315903,0.426022481121305,0.428555446638295,0.392478771271457,0.393617670192908,0.330856158699634,0.406336007274366,0.142760188804987,0.147480860077451,0.139334781312755,0.0945993710457284,0.126571132042282,0.0518260900143795,1,0.590606301223908,0.0353732068845295,0.027463913142573,-0.134244864278162,-0.116337165766604,-0.205613474502423,-0.211722185490277
