"Target_Variable","RMSE","Rsquared","MAE"
"NPI8",1.00225898550164,0.150026781746862,0.766651359609022
"NPI9",1.11691749040154,0.0582053892309082,0.889339827568373
"NPI10",0.689199039305918,0.533075506551382,0.483128923784304
"NPI11",0.911061105965604,0.272020236525261,0.691843376866588
"NPI12",1.20360567853084,0.0108979772430981,0.786954902190446
"NPI13",1.06535976425587,0.114314042911741,0.871038273318157
"NPI14",1.10092306026478,0.0895554703195591,0.78997115286602
"NPI15",0.849169597527318,0.35977561114266,0.644230898987855
"MorIden_1",0.933066243248783,0.257179192281733,0.731348199069781
"MorIden_2",0.884864651715884,0.309986966567847,0.703711564747567
"MorIden_3",1.03999600679149,0.135331758366591,0.770623179670792
"MorIden_4",1.06058921098279,0.0953077553412408,0.787902455563134
"MorIden_5",0.825074979671747,0.373288670726319,0.643387565274148
"MorIden_6",0.892293278594499,0.2907855130178,0.701006023119738
"MorIden_7",0.892345775761105,0.32388015709492,0.692688592818866
"MorIden_8",0.990480579679517,0.185411473920268,0.775993171272998
"MorIden_9",0.876619978629411,0.308916932377221,0.671860971467847
"MorIden_10",0.881141180289074,0.319388177802931,0.681683659400854
"moralSeImag_1",0.652002504058425,0.603236554627772,0.503225633701995
"moralSeImag_2",0.689332650976369,0.560601510744528,0.544166831699175
"moralSeImag_3",0.711896092141485,0.53818008306212,0.550312743990233
"moralSeImag_4",0.659425102347129,0.577468378824352,0.510331385585723
"moralSeImag_5",0.709137387090952,0.534731753971922,0.550324116116329
"moralSeImag_6",0.748163652986891,0.488071490130589,0.573792519757259
"moralSeImag_7",0.637298695143652,0.61795815481022,0.488648948723554
"moralSeImag_8",0.678305336089477,0.578349280699718,0.530808883598603
"moralSeImag_9",0.639166644237007,0.616200888993327,0.501210690152673
"sde_1",0.992131605575633,0.189873882483571,0.761435854757662
"sde_2",0.748230317935227,0.487387234797264,0.562686405586453
"sde_3",0.928610729181484,0.265520272011908,0.717694759216269
"sde_4",0.776169815863703,0.448656377648516,0.590876691185724
"sde_5",0.775494936718584,0.457534292752012,0.59423953001069
"sde_6",0.670042438072572,0.570620595518725,0.533115701214439
"sde_7",0.932984095387172,0.253096797762991,0.697558675506428
"sde_8",1.04078375266305,0.124130803834927,0.829510263595773
"sde_9",0.706217082421719,0.532538116388351,0.530296000655979
"sde_10",0.683918541707688,0.572625973934966,0.528906339701029
"sde_11",0.710043293089644,0.531965333741692,0.53776546521944
"sde_12",0.653911180882469,0.599800579328985,0.512447226032562
"sde_13",0.952587497930046,0.23565966077653,0.723436677435489
"sde_14",0.889142282835369,0.317867366261507,0.687364101768162
"sde_15",0.782248766278536,0.440750486725765,0.604864182090925
"sde_16",0.895947300498774,0.300615353258733,0.686710462621991
"sde_17",0.739247099189672,0.497570258415362,0.553181100993666
"sde_18",0.891303247674173,0.309221479489858,0.706648111864005
"sde_19",0.954473978622991,0.227955312315692,0.715332444156007
"sde_20",0.696866542983948,0.546576264042454,0.52596466349307
"IM_1",0.682721212650482,0.557278215376659,0.547463149693425
"IM_2",0.735735097638385,0.496345126754805,0.583829411314387
"IM_3",0.789453560681163,0.439343962854522,0.610070398361725
"IM_4",0.751061017311345,0.4813422483958,0.590608487678526
"IM_5",0.733773137064201,0.504304322192856,0.567005975970881
"IM_6",0.915351482343521,0.274784928105042,0.682141573398948
"IM_7",0.738326304038106,0.502916908011523,0.574334163732357
"IM_8",1.05455150085242,0.118748255446218,0.819180399263919
"IM_9",0.85359318991581,0.35518178626104,0.661853184598658
"IM_10",0.992227059740203,0.187133069616496,0.756052361252572
"IM_11",0.930090833654391,0.264681118306484,0.713023257632766
"IM_12",0.804822463875288,0.422597908861083,0.624833022407917
"IM_13",0.944778567332282,0.235289012923099,0.730998937800927
"IM_14",0.920041089351707,0.278944905602287,0.735936182234178
"IM_15",0.8068652098861,0.417324673173358,0.620455212052304
"IM_16",0.806429476457629,0.410896429495237,0.61456861940841
"IM_17",0.877906793046067,0.327999229502426,0.675004356660485
"IM_18",1.00544044060281,0.174673704244913,0.751832355386458
"IM_19",0.670687209086964,0.58551869399821,0.525302617999193
"IM_20",0.80059711191308,0.417606342982507,0.600793081206335
"Ability",0.668739553142148,0.582997946125881,0.517023895486761
"Attraction",0.72771866223012,0.514424662087676,0.559624567895433
"Wealth",0.812368436114398,0.427023888364252,0.626964944474908
"Social",0.722809406821495,0.529786747389873,0.549302259171663
"Moral",0.712516344031197,0.534425580732465,0.554599514764581
"ability_ALT_rt",0.862339327945752,0.334122565587944,0.688575283185017
"moral_ALT_rt",0.864301752914286,0.33216875137705,0.682011126409423
"ability_ALT_d",0.866554180145282,0.334325032398987,0.70572098719767
"moral_ALT_d",0.8931884981363,0.305682715229119,0.720410809218168
"ability_IAT",1.0315328880167,0.12884998017149,0.828047191000423
"moral_IAT",1.05428781203413,0.0976396146802725,0.83943918068052
"ability_SRET_EW",0.800037992966202,0.425657407584285,0.62152087210859
"moral_SRET_EW",0.932295524385145,0.239093897336479,0.664717750930547
"ability_SRET_rt",0.868699004307571,0.241170740584465,0.630953393709767
"moral_SRET_rt",0.863192678409783,0.306018212239878,0.540880823994987
"ability_SRET_RJ1_d",1.23644555520236,0.0168817655972383,0.998031045815104
"moral_SRET_RJ1_d",1.11645418276779,0.0385281966024275,0.893024044393552
"ability_SRET_RJ2_d",1.01135224404982,0.148737848298692,0.818621682559897
"moral_SRET_RJ2_d",1.08137383732365,0.103629436318648,0.861603850376702
